hnum2,HospitalName,RR,RRName
1,Northwestern Medical Center,RR1,RR1--Burlington
2,North Country Hospital And Health Center,RR3,RR3--Newport/St. Jns
3,Northeastern Vermont Regional Hospital,RR3,RR3--Newport/St. Jns
4,Copley Hospital,RR2,RR2--Barre
5,University of Vermont Medical Center (as of 2014),RR1,RR1--Burlington
6,Central Vermont Hospital,RR2,RR2--Barre
8,Rutland Regional Medical Center,RR5,RR5--Rutland
9,Porter Medical Center,RR1,RR1--Burlington
10,Gifford Memorial Hospital,RR4,RR4--Randolph
11,Mount Ascutney Hospital And Health Center,RR4,RR4--Randolph
12,Springfield Hospital,RR4,RR4--Randolph
14,Grace Cottage Hospital,RR4,RR4--Randolph
15,Brattleboro Memorial Hospital,RR4,RR4--Randolph
16,Southwestern Vermont Medical Center,RR5,RR5--Rutland
17,Fanny Allen Hospital (Prior To 1995),,
19,Veterans Administration (Prior To 7/1/2006),,
